,title,category,Beschreibung,zip,description
104,Stephansdom,sightseeing,"Das Wahrzeichen Wiens und Österreichs bedeutendstes gotisches Bauwerk beherbergt eine Reihe von Kunstschätzen, die teilweise im Rahmen einer Führung besichtigt werden können: z.B. das Grabmal Kaiser Friedrichs III., der Wiener Neustädter Altar, die Katakomben, die Pummerin - die größte Glocke Österreichs usw.",1010,"The symbol of Vienna and Austria's most important Gothic building houses a number of art treasures, some of which can be visited as part of a tour: e.g. the tomb of Emperor Friedrich III, the Viennese Neustädter Altar, the catacombs, the Pummerin - the largest bell in Austria, etc."
105,Sterngasse4,shopping,Ein Store mit den aktuellsten Trends und Labels aus aller Welt und Fokus auf schicke Kleider und Accessoires.,1010,A store with the latest trends and labels from all over the world and focus on chic clothes and accessories.
106,Strandbar Herrmann,gastronomy,"Sonne, Sand und Urlaubsfeeling, gutes Essen und coole Drinks bietet am Wiener Donaukanal die Strandbar Herrmann.",1010,"Sun, sand and holiday feeling, good food and cool drinks offer the Herrmann beach bar on the Vienna Danube Canal."
107,Susanne Bisovsky,shopping,"Bisovsky greift traditionelle Motive der Tracht auf und verwandelt sie in Couture, sie kombiniert folkloristische Elemente mit Eleganz oder kontrastiert sie mit Punk.",1070,"Bisovsky picks up traditional motifs and turns them into couture, it combines folkloric elements with elegance or contrasts with punk."
108,Susanne Kitz,shopping,"Exklusive Taschen und Schmuck-Unikate aus Halbedelsteinen, Perlmutt und Horn erwarten die Kunden hier.",1010,"Exclusive bags and unique jewelry made of semi-precious stones, mother-of-pearl and horn await customers here."
109,Swarovski Wien,shopping,Die gesamte glitzernde und schillernde Produktvielfalt des weltbekannten Kristall-Designers kann hier bestaunt und auch gekauft werden.,1010,The entire glittering and dazzling product variety of the world-famous crystal designer can be admired and bought here.
110,Tanzquartier Wien,musicstage,"Im MuseumsQuartier, nahe der Hofburg, verfügt dieses österreichische Zentrum für zeigenössischen Tanz und Performance über zwei Veranstaltungsorte.",1070,"In the museum district, near the Hofburg, this Austrian center for showing dance and performance has two venues."
111,Technisches Museum Wien,museum,"Einzigartige Schaustücke aus der Technik- und Industriegeschichte beherbergt dieses Wiener Traditionsmuseum, wie die noch immer flugfähige Ettrich-Taube, die Dampfmaschinen, der bordeauxrote Lohner-Porsche, das Schaubergwerk im Keller... ",1140,"Unique show pieces from the history of technology and industrial history houses this traditional Vienna, such as the still flying Ettrich pigeon, the steam engines, the Bordeauxrote Lohner-Porsche, the show mine in the basement ..."
112,Theater an der Wien,musicstage,"Rund jeden Monat eine Premiere, und das zwölf Monate im Jahr – das bietet das 2006 als Opernhaus eröffnete Theater an der Wien.",1060,"A premiere around every month, and the twelve months a year - this offers the theater at Vienna, which was opened as an opera house in 2006."
113,Theater in der Josefstadt,musicstage,"Eröffnet 1788 ist das Theater in der Josefstadt heute das älteste noch bestehende, ständig bespielte Theater Wiens. Heute bietet man hier einen gelungenen Mix aus Klassikern und Uraufführungen zeitgenössischer Autoren.",1080,"Opened in 1788 the theater in the Josefstadt is the oldest still existing, constantly played theater in Vienna.Today you offer a successful mix of classics and premieres of contemporary authors."
114,Tiergarten Schönbrunn,sightseeing,"Der Tiergarten Schönbrunn in Wien ist der älteste bestehende Zoo der Welt, die einzige erhaltene ""Barock-Menagerie"". Die oberste Maxime des Zoos heute ist aber: ""Schönbrunn soll ein Zoo der glücklichen Tiere sein"" – und das sieht man!",1130,"The Schönbrunn Tiergarten in Vienna is the oldest existing zoo in the world, the only preserved ""baroque menager"".The top maxim of the zoo today is: ""Schönbrunn should be a zoo of happy animals"" - and you can see that!"
115,Tourist-Info,servicepoints,Das Team vom WienTourismus hilft hier bei der Planung Ihres Wienbesuches und bucht vor Ort Ihr Hotel in Wien. Außerdem: gratis Stadtpläne und Boschüren. Geöffnet täglich von 9 bis 19 Uhr.,1010,The Wient Tourism team helps to plan your visit to Vienna and book your hotel in Vienna on site.Also: free city plans and Boschwists.Open daily from 9 a.m. to 7 p.m.
116,U4 Diskothek,nightlife,Die legendärste Disco der Stadt versorgt mittlerweile schon die vierte Generation an Gästen mit Partylaune auf zwei Floors  und den nötigen Drinks.,1120,The most legendary disco in the city is now supplied by the fourth generation of guests with party mood on two floors and the necessary drinks.
117,Unger und Klein,gastronomy,In dieser Kombination aus Weinhandlung und Bar gehen ästhetischer und kulinarischer Genuss eine wunderbare Symbiose ein.,1010,"In this combination of wine shop and bar, aesthetic and culinary enjoyment take a wonderful symbiosis."
118,Volksgarten Clubdiskothek,nightlife,Die Clubdiskothek mit dem blumengeschmückten und palmenbestückten Garten bietet Tanzunterhaltung mit Stil.,1010,The club discotheque with the flower -decorated and palm -covered garden offers dance entertainment with style.
119,Volksoper Wien,musicstage,"Die Volksoper bietet ungeheuer vielfältige Bühnenkunst: Sowohl Opern, klassische Musicals, zeitgenössischen Tanz und Konzerte als auch Operetten.",1090,"The Volksoper offers tremendously diverse stage art: both operas, classic musicals, contemporary dance and concerts as well as operettas."
120,Volkstheater,musicstage,Das Volkstheater wurde 1889 als „bürgerliches Gegenstück“ zum heutigen Burgtheater eröffnet. Das Repertoire des Theaters umfasst neben österreichischen auch deutsche und internationale Klassiker.,1070,"The Volkstheater was opened in 1889 as a ""bourgeois counterpart"" for today's Burgtheater.In addition to Austrian classics, the theater's repertoire includes."
121,WestLicht - Schauplatz für Fotografie,museum,"Das Fotomuseum zeigt 700 wertvolle historische Fotoapparate und Spezialkameras, wechselnde Fotoausstellungen runden das Angebot ab.",1070,"The photo museum shows 700 valuable historical photo apparatus and special cameras, changing photo exhibitions complete the offer."
122,Wien Museum Karlsplatz,museum,Hier wird die Geschichte Wiens von den ersten Ansiedlungen bis zur Gegenwart dokumentiert.,1040,Here the history of Vienna is documented from the first settlements to the present.
123,Wiener Glasmuseum (Lobmeyr) ,museum,Seit beinah 200 Jahren steht dieser Wiener Familienbetrieb für exklusive Glaserzeugung in hochwertigem Design.,1010,This Viennese family business has stood for exclusive glass production in high -quality design for almost 200 years.
124,Wiener Kammeroper ,musicstage,"Dieses Opernhaus steht für aktuelle, niveauvolle Inszenierungen, junge, unverbrauchte Stimmen und ist Sprungbrett für die „Stars von morgen“.",1010,"This opera house stands for current, sophisticated productions, young, unused voices and is a springboard for the ""stars of tomorrow""."
125,Wiener Konzerthaus,musicstage,"Im stimmungsvollen Jugendstil-Ambiente des Konzerthauses kann man nicht nur klassisches Repertoire hören, sondern auch Musik vom Mittelalter bis zu progressivsten Tönen der Gegenwart.",1030,"In the atmospheric Art Nouveau atmosphere of the concert hall, you can not only hear classic repertoire, but also music from the Middle Ages to the most progressive tones of the present."
126,Wiener Porzellanmanufaktur Augarten,shopping,"Augarten Porzellan besticht durch extravagantes Design, zeitlose Eleganz und präzise Handarbeit. ",1020,"Augarten porcelain captivates with extravagant design, timeless elegance and precise manual work."
127,Wiener Sängerknaben,musicstage,"Die ""jüngsten musikalischen Botschafter Wiens"" sind bei den sonntäglichen Heiligen Messen in der Hofburgkapelle zu hören.",1020,"The ""latest musical ambassadors in Vienna"" can be heard at the Sunday trade fairs in the Hofburg Chapel."
128,Wiener Staatsoper,musicstage,Die Wiener Staatsoper ist eine der ersten Opernadressen der Welt. Internationale Spitzeninterpreten und Regisseure genießen es hier ihre Kunst darzubieten.,1010,The Vienna State Opera is one of the first opera addresses in the world.International top interpreters and directors enjoy their art here.
129,Wiener Stadthalle,musicstage,1956 bekam Wien dank Architekt Roland Rainer die Wiener Stadthalle als Aushängeschild für moderne Konzerte und Shows. Die bis dahin unbekannte Größenordnung ermöglichte von Beginn an Events der Sonderklasse.,1150,"In 1956, thanks to architect Roland Rainer, Vienna received the Wiener Stadthalle as a figurehead for modern concerts and shows.The previously unknown size enabled special class events from the start."
130,Würstelstand Albertina,gastronomy,Dieser Würstelstand gilt als zeitgemäße Interpretation dieser Wiener Institution: hier werden auch Bouteillenweine und Sekt angeboten.,1010,This sausage stand is considered a contemporary interpretation of this Viennese institution: BOOWELLENWONE and sparkling wine are also offered here.
131,Würstelstand am Hohen Markt,gastronomy,Seinen Kultfaktor verdankt dieser Würstelstand seinen Öffnungszeiten bis in die frühen Morgenstunden.,1010,This sausage stand owes its cult factor to its opening hours until the early hours of the morning.
132,Zentralfriedhof,sightseeing,"Auf dem mehr als 2 Quadratkilometer große Zentralfriedhof befindet sich die wahrscheinlich größte Anlage von Ehrengräbern der Welt.Ihre letzte Ruhestätte fanden hier u.a Ludwig van Beethoven, Franz Schubert, Johann Strauß und Johannes Brahms.",1110,"The most than 2 square kilometer central cemetery is probably the largest complex of honorary graves in the world. In the final resting place, among other things, Ludwig van Beethoven, Franz Schubert, Johann Strauß and Johannes Brahms."
133,ZOOM Kindermuseum,museum,"Das Kindermuseum im MuseumsQuartier bietet ein ganzjähriges Ausstellungs- und Workshopangebot, sowie ein einzigartiges Multimedialabor.",1070,"The children's museum in the museum quarters offers a year-round exhibition and workshop offer, as well as a unique multimedia laboratory."
134,Zur Schwäbischen Jungfrau,shopping,"Hier findet man exklusive Tisch-, Bett- und Frotteewäsche sowie Daunendecken bester Qualität.",1010,"Here you will find exclusive table, bed and terry linen and down ceilings of the best quality."
